carExIdx,Company,ManuID,Model,ModelInKor,Type,ClassID,Prices,is_unique,is_pegasus,LapTime,Top Speed,Speed,Acceleration,Braking,Handling,length,width,height,Weight,Drive,DriveID,Gears,Seats,Shop,Steal,lengthbackup,widthbackup,heightbackup,Speedbackup,Accelerationbackup,Brakingbackup,Handlingbackup,LapTimebackup,Top Speed backup
824,Pfister,7,Astrale,,Sports Classics,18,1475000,0,0,60294,23899,8934,8000,2200,7682,488,200,127,1400,RWD,2,5,2,Legendary Motorsport ,,,,,,,,,01:03.7,126
823,Karin,5,Vivanite KnoWay,,Service,16,,1,1,,,8370,2337,2600,6602,529,231,220,2180,AWD,3,1,4,Cannot be acquired,,,,,,,,,,
822,Progen,22,Luiva,루이바,Super,19,2697500,0,0,61094,21927,9658,9500,2500,10000,486,225,127,1270,RWD,2,6,2,Legendary Motorsport ,,,,,96.58,95,25,100,01:01.1,136.25
821,Vapid,6,FMJ MK V,FMJ MK V,Super,19,2965000,0,0,54704,25065,9470,9687,2900,10000,537,222,120,1250,RWD,2,6,2,Legendary Motorsport ,,,,,94.7,96.87,29,100,00:57.8,133.5
820,Pfister,7,X-Treme,익스트림,Super,19,2885000,0,0,59526,20479,9336,5813,3000,10000,474,284,144,1500,AWD,3,1,2,Legendary Motorsport ,,,,,93.36,58.13,30,100,00:59.5,127.25
819,Grotti,29,GT750,GT750,Sports Classics,18,1247000,0,0,64764,19393,8638,8300,1567,7212,471,182,134,1600,RWD,2,5,2,Legendary Motorsport ,,,,,86.38,83,15.67,72.12,01:04.8,120.5
818,Ubermacht,2,Sentinel XS4,,Sedans,15,1429000,0,0,66416,12725,8585,7375,2167,6212,488,190,185,1440,RWD,2,5,4,Southern S.A. Super Autos,,,,,85.85,73.75,21.67,62.12,01:06.4,127.25
817,Vapid,6,Tow Truck (Salvage Yard),,Utility,22,1100000,1,0,89861,14725,5634,3750,833,4848,788,298,317,4950,RWD,2,4,2,,,,,,,,,,,
816,Vapid,6,Tow Truck (Salvage Yard Beater),,Utility,22,650000,1,0,89861,14725,5634,3750,833,4848,788,298,317,4950,RWD,2,4,2,,,,,,,,,,,
815,Declasse,25,Drift Walton L35,드리프트 왈튼 L35,Off-Road,12,1403750,0,0,,,,,,,484,217,149,1455,AWD,3,4,2,Southern S.A. Super Autos,,4.84,2.17,1.49,,,,,,
814,Declasse,25,Walton L35 Stock,왈튼 L35 스톡,Off-Road,12,1303700,0,0,71204,17421,7458,5900,1067,6364,481,215,182,1455,AWD,3,5,2,Southern S.A. Super Autos,,4.81,2.15,1.82,74.58,59,10.67,63.64,01:11.2,174.21
813,Brute,18,Bobcat Security Stockade,밥캣 시큐리티 스타케이드,Commercial,2,2440500,1,1,97814,13800,6439,3000,833,5000,737,273,310,6500,RWD,2,5,4,Warstock Cache & Carry,,7.37,2.73,3.1,64.39,30,8.33,50,01:37.8,138
812,Grotti,29,LSCM Cheetah Classic,LSCM 치타 클래식,Sports Classics,18,1950500,0,0,63413,19151,8156,7500,2667,10000,462,213,115,1400,RWD,2,5,2,Legendary Motorsport ,,4.62,2.13,1.15,81.56,75,26.67,100,01:03.4,191.51
811,Karin,5,Woodlander,,SUVs,20,1611000,0,0,63913,21967,8612,6500,1617,6671,457,190,170,1500,AWD,3,5,4,Southern S.A. Super Autos,,4.57,1.9,1.7,86.12,65,16.17,66.71,01:09.0,181.05
810,Karin,5,Everon RS,,SUVs,20,1665000,0,0,64147,20237,8290,8438,1500,6667,572,219,202,2100,AWD,3,7,2,Legendary Motorsport ,,5.72,2.19,2.02,82.9,84.38,15,66.67,01:04.1,202.37
809,Ubermacht,2,Sentinel GTS,,Sports,17,2172000,0,0,62045,21284,8944,8250,2333,7576,508,200,178,1870,RWD,2,6,4,Legendary Motorsport ,,5.08,2,1.78,89.44,82.5,23.33,75.76,01:02.0,212.84
808,Dewbauchee,8,Rapid GT X,라피드 GT X,Sports,17,2705500,0,0,61395,21284,8960,8750,2667,7424,491,213,133,1650,RWD,2,6,2,Legendary Motorsport ,,4.91,2.13,1.33,89.6,87.5,26.67,74.24,01:01.4,212.84
807,Annis,10,Minimus,미니무스,Sedans,15,1417000,0,0,64998,18507,7968,7038,1833,7727,532,199,161,1600,RWD,2,4,4,Southern S.A. Super Autos,,5.32,1.99,1.61,79.68,70.38,18.33,77.27,01:05.0,185.07
806,Annis,10,Hardy,하디 웨이,Sedans,15,1380000,0,0,67498,20640,8456,6780,1887,6136,587,177,175,1350,RWD,2,5,4,Southern S.A. Super Autos,,5.87,1.77,1.75,84.56,67.8,18.87,61.36,01:07.5,206.4
805,Declasse,25,Tampa GT,탬파 GT,Muscle,11,1311000,0,0,67451,26715,8585,9250,1000,5515,524,210,172,1800,RWD,2,3,2,Southern S.A. Super Autos,,5.24,2.1,1.72,85.85,92.5,10,55.15,01:10.3,210.02
804,Buckingham,19,Higgins Helitours Maverick,,Helicopters,7,,1,0,59058,22571,7700,8200,0,6100,1835,1363,443,6500,,,,4,Bonus Reward,,18.35,13.63,4.43,,,,,00:59.1,225.71
803,Overflod,35,Suzume,스즈메,Super,19,3074500,0,0,59543,20358,9121,5750,3150,10000,513,234,155,1900,AWD,3,1,2,Legendary Motorsport ,,5.13,2.34,1.55,91.21,57.5,31.5,100,00:59.5,203.58
802,Invetero,34,Coquette D5,,Sports,17,1730000,0,0,60861,21042,8974,8125,2333,7991,481,201,130,1420,RWD,2,6,2,Legendary Motorsport ,,4.81,2.01,1.3,89.74,81.25,23.33,79.91,01:00.9,210.42
801,Western,37,Duster 300-H,더스터 300-H,Planes,14,1020000,0,0,,,9848,3350,3299,261,1034,1594,388,2060,,,,1,Elitás Travel,,10.34,15.94,3.88,98.48,33.5,32.99,2.61,,
800,Eberhard,62,Titan 250 D,타이탄 250 D,Planes,14,4870000,0,0,,,8753,3125,2735,42,3160,3901,1185,40000,,,,16,Warstock Cache & Carry,,31.6,39.01,11.85,87.53,31.25,27.35,0.42,,
799,Buckingham,19,DH-7 Iron Mule,DH-7 아이언 뮬,Helicopters,7,2345000,0,0,,,10000,10000,0,10000,3396,3218,940,19000,,,,16,Warstock Cache & Carry,,33.96,32.18,9.4,100,100,,100,,
798,Vapid,6,Uranus Lozspeed,,Sports Classics,18,1140000,0,0,63230,19030,8317,8113,1600,7697,452,179,190,1240,RWD,2,5,2,Southern S.A. Super Autos,,4.52,1.79,1.9,83.17,81.13,16,76.97,01:03.2,190.3
797,Vapid,6,Firebolt ASP,파이어볼트 ASP,Off-Road,12,1894500,0,0,60828,22410,7753,7405,1300,7091,541,219,183,2120,RWD,2,4,2,Southern S.A. Super Autos,,5.41,2.19,1.83,77.53,74.05,13,70.91,01:05.5,182.66
796,Invetero,34,Coquette D10 Pursuit,코켓 D10 퍼슈트,Emergency,6,5620000,0,0,62796,21525,8585,8000,2000,10000,484,208,139,1660,RWD,2,8,2,Warstock Cache & Carry,,4.84,2.08,1.39,85.85,80,20,100,01:02.8,215.25
795,Willard,58,Outreach Faction,아우트리치 팩션,Emergency,6,4150000,0,0,69753,18467,7512,7000,2667,6818,525,186,154,1280,RWD,2,5,2,Warstock Cache & Carry,,5.25,1.86,1.54,75.12,70,26.67,68.18,01:09.8,184.67
794,Dinka,27,Chavos V6,차보스 V6,Sedans,15,1420000,0,0,64564,18588,7834,6850,2300,7739,507,201,149,1430,RWD,2,5,4,Southern S.A. Super Autos,,5.07,2.01,1.49,78.34,68.5,23,77.39,01:04.6,185.88
793,Dinka,27,LSCM Jester RR,,Sports,17,2290000,0,0,62379,19030,8182,8228,2833,10000,453,217,134,1485,RWD,2,7,2,Legendary Motorsport ,,4.53,2.17,1.34,81.82,82.28,28.33,100,01:02.4,190.3
792,Canis,42,Terminus Patrol,터미너스 순찰차,Emergency,6,5125000,0,0,64197,19232,7941,6725,1833,6629,500,196,205,2100,AWD,3,6,4,Warstock Cache & Carry,,5,1.96,2.05,79.41,67.25,18.33,66.29,01:04.0,192.32
791,Vapid,6,Caracara Pursuit,카라카라 퍼슈트,Emergency,6,5335000,0,0,69070,16858,7404,6750,1000,6212,660,225,233,2580,AWD,3,6,4,Warstock Cache & Carry,,6.6,2.25,2.33,74.04,67.5,10,62.12,01:09.1,168.58
790,Bravado,17,Banshee GTS,밴시 GTS,Sports,17,1989500,0,0,57574,27761,9803,9695,2400,10000,475,210,144,1550,RWD,2,6,2,Legendary Motorsport ,,4.75,2.1,1.44,98.03,96.95,24,100,01:00.6,222.09
789,Benefactor,3,Vorschlaghammer,포쉴라크하마,Sedans,15,1790000,0,0,67000,19755,8424,6625,2083,6258,510,218,143,1370,RWD,2,5,4,Southern S.A. Super Autos,,5.1,2.18,1.43,84.24,66.25,20.83,62.58,01:07.0,197.55
788,Vapid,6,Dominator FX,,Muscle,11,1550000,0,0,63880,19634,8209,7500,2300,7221,508,187,135,1200,RWD,2,5,2,Southern S.A. Super Autos,,5.08,1.87,1.35,82.09,75,23,72.21,01:03.9,196.34
787,Pegassi,4,Pizza Boy,피자 보이,Motorcycles,10,195000,0,0,84667,13116,4963,3000,1100,5030,185,71,130,120,RWD,2,3,2,Southern S.A. Super Autos,,1.85,0.71,1.3,49.63,30,11,50.3,01:24.7,131.16
786,Canis,42,Castigator,캐스티게이터,SUVs,20,1650000,0,0,63864,20278,8531,7262,2533,6861,451,216,186,2050,AWD,3,6,4,Southern S.A. Super Autos,,4.51,2.16,1.86,85.31,72.62,25.33,68.61,01:03.9,202.78
785,Vapid,6,Dominator FX Interceptor,도미네이터 FX 인터셉터,Emergency,6,4950000,0,0,63664,19956,8209,7500,2300,7221,508,187,156,1200,RWD,2,5,2,Warstock Cache & Carry,,5.08,1.87,1.56,82.09,75,23,72.21,01:03.7,199.56
784,Declasse,25,Impaler LX Cruiser,임페일러 LX 크루저,Emergency,6,4800000,0,0,67351,18829,7780,7500,2333,6470,580,217,167,1630,RWD,2,4,2,Warstock Cache & Carry,,5.8,2.17,1.67,77.8,75,23.33,64.7,01:07.4,188.29
783,Annis,10,Euros X32,,Coupes,4,1499000,0,0,63496,21082,8102,7000,2667,6930,477,219,140,1545,RWD,2,5,2,Legendary Motorsport ,,4.77,2.19,1.4,81.02,70,26.67,69.3,01:07.4,181.86
782,Invetero,34,Coquette D1,코켓 D1,Sports Classics,18,1500000,0,0,67050,19916,8585,6950,2000,7045,431,192,136,1350,RWD,2,3,2,Legendary Motorsport ,,4.31,1.92,1.36,85.85,69.5,20,70.45,01:07.1,199.16
781,Bravado,17,Dorado Cruiser,도라도 크루저,Emergency,6,5005000,0,0,70269,18145,7603,5421,1667,5591,534,209,204,2150,AWD,3,4,4,Warstock Cache & Carry,,5.34,2.09,2.04,76.03,54.21,16.67,55.91,01:10.3,181.45
780,Bollokan,39,Envisage,엔비사지,Sports,17,2472000,0,0,60860,19634,9390,4375,2733,10000,534,210,156,2400,RWD,2,1,2,Legendary Motorsport ,,5.34,2.1,1.56,93.9,43.75,27.33,100,01:00.9,196.34
779,Ubermacht,2,Niobe,니오베,Sports,17,1880000,0,0,55389,25669,8960,9512,2533,10000,511,278,185,1555,AWD,3,6,2,Legendary Motorsport ,,5.11,2.78,1.85,89.6,95.12,25.33,100,00:59.7,204.79
778,Enus,40,Paragon S,파라곤 S,Sports,17,2010000,0,0,60443,20519,8558,8250,3667,10000,530,207,149,2315,AWD,3,7,2,Legendary Motorsport ,,5.3,2.07,1.49,85.58,82.5,36.67,100,01:00.4,205.19
777,Overflod,35,Pipistrello,피피스트렐로,Super,19,2950000,0,0,58541,18950,8907,5600,3067,10000,514,358,258,1600,AWD,3,1,2,Legendary Motorsport ,,5.14,3.58,2.58,89.07,56,30.67,100,00:58.5,189.5
776,Declasse,25,Burrito (Bail Enforcement),,Emergency,6,,1,0,82876,16415,7780,4875,2000,6061,586,393,250,2500,RWD,2,5,6,Bonus Reward,,5.86,3.93,2.5,77.8,48.75,20,60.61,01:22.9,164.15
775,Declasse,25,Impaler SZ Cruiser,임페일러 SZ 크루저,Emergency,6,4720000,0,0,66383,19030,7726,6344,2883,6970,584,209,161,1930,RWD,2,4,4,Warstock Cache & Carry,,5.84,2.09,1.61,77.26,63.44,28.83,69.7,01:06.4,190.3
774,Bravado,17,Greenwood Cruiser,그린우드 크루저,Emergency,6,4910000,0,0,69669,19553,7673,7050,2333,6970,538,217,161,1750,RWD,2,3,4,Warstock Cache & Carry,,5.38,2.17,1.61,76.73,70.5,23.33,69.7,01:09.7,195.53
773,Declasse,25,Yosemite 1500,요세미티 1500,Off-Road,12,1205000,0,0,69586,17099,7163,5838,1767,6061,555,222,183,1830,AWD,3,4,2,Southern S.A. Super Autos,,5.55,2.22,1.83,71.63,58.38,17.67,60.61,01:09.6,170.99
772,Vapid,6,Benson (Cluckin' Bell),,Commercial,2,685000,1,1,92309,14766,6975,4000,833,5303,955,303,330,7000,AWD,3,5,2,Warstock Cache & Carry,,9.55,3.03,3.3,69.75,40,8.33,53.03,01:32.3,147.66
771,Canis,42,Terminus,,Off-Road,12,1877500,0,0,64197,19151,7941,6725,1833,6629,489,194,188,2000,AWD,3,6,4,Southern S.A. Super Autos,,4.89,1.94,1.88,79.41,67.25,18.33,66.29,01:04.2,191.51
770,Bravado,17,Police Gauntlet Interceptor,건틀렛 인터셉터,Emergency,6,5420000,0,0,64814,19634,8317,9000,3000,7121,564,203,162,2150,RWD,2,5,2,Warstock Cache & Carry,,5.64,2.03,1.62,83.17,90,30,71.21,01:04.8,196.34
769,Declasse,25,Impaler SZ,,Muscle,11,1280000,0,0,67101,18829,7726,6344,2883,6970,584,209,145,1830,RWD,2,4,4,Southern S.A. Super Autos,,5.84,2.09,1.45,77.26,63.44,28.83,69.7,01:07.1,188.29
768,Gallivanter,28,Baller ST-D,볼러 ST-D,SUVs,20,1715000,0,0,64214,19030,7512,7375,3075,6918,519,211,205,2600,AWD,3,7,4,Legendary Motorsport ,,5.19,2.11,2.05,75.12,73.75,30.75,69.18,01:04.2,190.3
767,Albany,9,Cavalcade XL,카발케이드 XL,SUVs,20,1665000,0,0,69470,16777,6546,6913,2917,6742,540,231,231,3170,AWD,3,8,4,Southern S.A. Super Autos,,5.4,2.31,2.31,65.46,69.13,29.17,67.42,01:09.5,167.77
766,Bravado,17,Dorado,,SUVs,20,1375000,0,0,71188,17864,7603,5421,1667,5591,534,209,225,2150,AWD,3,4,4,Southern S.A. Super Autos,,5.34,2.09,2.25,76.03,54.21,16.67,55.91,01:11.2,178.64
765,Declasse,25,Vigero ZX Convertible,비게로 ZX 컨버터블,Muscle,11,2295000,0,0,62079,25428,8474,9112,3167,10000,519,220,147,1890,RWD,2,6,2,Southern S.A. Super Autos,,5.19,2.2,1.47,84.74,91.12,31.67,100,01:05.3,201.17
764,Vapid,6,Aleutian,알류샨,SUVs,20,1835000,0,0,72989,18226,6385,6988,2500,6357,560,232,208,2550,AWD,3,8,4,Legendary Motorsport ,,5.6,2.32,2.08,63.85,69.88,25,63.57,01:13.0,182.26
763,Grotti,29,Turismo Omaggio,투리스모 오마조,Super,19,2845000,0,0,57775,19714,8209,9350,3950,10000,472,207,126,1435,RWD,2,7,2,Legendary Motorsport ,,4.72,2.07,1.26,82.09,93.5,39.5,100,00:57.8,197.14
762,Fathom,31,FR36,FR36,Coupes,4,1610000,0,0,64214,19553,8209,7525,2867,7221,509,198,154,1515,RWD,2,5,2,Southern S.A. Super Autos,,5.09,1.98,1.54,82.09,75.25,28.67,72.21,01:04.2,195.53
761,Declasse,25,Impaler LX,,Muscle,11,1465000,0,0,67969,18588,7780,7500,2333,6470,575,209,172,1630,RWD,2,4,4,Southern S.A. Super Autos,,5.75,2.09,1.72,77.8,75,23.33,64.7,01:08.0,185.88
760,Vapid,6,Dominator GT,도미네이터 GT,Muscle,11,2195000,0,0,62880,19795,8692,8620,3100,7712,504,211,145,1820,RWD,2,6,2,Southern S.A. Super Autos,,5.04,2.11,1.45,86.92,86.2,31,77.12,01:02.9,197.95
759,Karin,5,Vivanite,비바나이트,SUVs,20,1605000,0,0,63714,20600,8370,2337,2600,6602,554,231,205,2180,AWD,3,1,4,Southern S.A. Super Autos,,5.54,2.31,2.05,83.7,23.37,26,66.02,01:08.5,169.79
758,Karin,5,Asterope GZ,,Sedans,15,459000,0,0,67234,18226,7779,5950,2999,7076,525,198,164,1500,RWD,2,5,4,Southern S.A. Super Autos,,5.25,1.98,1.64,77.79,59.5,29.99,70.76,01:07.2,182.26
757,Albany,9,Brigham,브리검,Muscle,11,1499000,0,0,75559,16979,7297,5250,1267,5773,652,226,209,3170,RWD,2,4,4,Southern S.A. Super Autos,,6.52,2.26,2.09,72.97,52.5,12.67,57.73,01:15.6,169.79
756,Bravado,17,Hotring Hellfire,,Sports,17,1810000,0,0,66266,19996,8630,9169,3117,10000,518,203,134,1940,RWD,2,4,2,Southern S.A. Super Autos,,5.18,2.03,1.34,86.3,91.69,31.17,100,01:06.3,199.96
755,Buckingham,19,Weaponized Conada,코나다(무기화),Helicopters,7,3385000,0,0,53762,24301,10000,10000,0,10000,1217,1057,340,1700,,,,2,Warstock Cache & Carry,,12.17,10.57,3.4,100,100,,100,00:53.8,243.01
754,Penaud,54,La Coureuse,라 쿠흐즈,Sports,17,1990000,0,0,56139,22933,7504,9250,2667,10000,440,224,167,1500,RWD,2,4,2,Legendary Motorsport ,,4.4,2.24,1.67,75.04,92.5,26.67,100,01:00.8,184.27
753,Coil,23,Junk Energy Inductor,,Cycles,5,50000,0,0,131365,7322,4024,1400,5167,3106,194,100,167,125,,,1,1,Pedal and Metal Cycles ,,1.94,1,1.67,40.24,14,51.67,31.06,02:11.4,73.22
752,Coil,23,Inductor,,Cycles,5,50000,0,0,131365,7322,4024,1400,5167,3106,194,100,167,125,,,1,1,Pedal and Metal Cycles ,,1.94,1,1.67,40.24,14,51.67,31.06,02:11.4,73.22
751,Bravado,17,Buffalo EVX,버팔로 EVX,Muscle,11,2140000,0,0,66132,19151,8405,9550,3283,7333,562,211,149,1820,AWD,3,5,2,Legendary Motorsport ,,5.62,2.11,1.49,84.05,95.5,32.83,73.33,01:06.1,191.51
750,Grotti,29,Stinger TT,,Sports,17,2380000,0,0,59292,27117,8692,9950,3267,7929,512,223,142,1570,RWD,2,8,2,Legendary Motorsport ,,5.12,2.23,1.42,86.92,99.5,32.67,79.29,01:02.8,212.43
749,Declasse,25,Walton L35 (Lifted),왈튼 L35,Off-Road,12,1670000,0,0,69337,16938,7082,5900,1067,6176,481,199,210,1600,AWD,3,5,2,Southern S.A. Super Autos,,4.81,1.99,2.1,70.82,59,10.67,61.76,01:09.3,169.38
748,Mammoth,13,Streamer216,,Planes,14,2238000,0,0,48319,23014,8402,4000,3361,139,1690,1985,601,3400,,,,4,Warstock Cache & Carry,,16.9,19.85,6.01,84.02,40,33.61,1.39,00:48.3,230.14
747,Vapid,6,Ratel,,Off-Road,12,1873000,0,0,65984,18186,7673,8550,1067,6642,512,230,207,1860,RWD,2,4,2,Southern S.A. Super Autos,,5.12,2.3,2.07,76.73,85.5,10.67,66.42,01:06.0,181.86
746,Maibatsu,12,Monstrociti,,Off-Road,12,1485000,0,0,60327,21847,7603,6838,1230,10000,426,196,223,1990,AWD,3,5,2,Southern S.A. Super Autos,,4.26,1.96,2.23,76.03,68.38,12.3,100,01:06.2,176.63
745,Vapid,6,Clique Wagon,클리크 웨건,Muscle,11,1205000,0,0,79296,14645,6331,4950,1167,6303,536,191,196,1100,RWD,2,3,2,Southern S.A. Super Autos,,5.36,1.91,1.96,63.31,49.5,11.67,63.03,01:19.3,146.45
744,Mammoth,13,F-160 Raiju,F-160 라이주,Planes,14,6855000,0,0,30822,37417,10000,10000,10000,400,1602,1085,413,11000,,,,1,Warstock Cache & Carry,,16.02,10.85,4.13,100,100,100,4,00:30.8,374.17
743,Karin,5,Boor,,Off-Road,12,1280000,0,0,70754,18105,7995,6675,2267,6258,441,164,157,930,AWD,3,4,2,Southern S.A. Super Autos,,4.41,1.64,1.57,79.95,66.75,22.67,62.58,01:10.8,181.05
742,Willard,58,Eudora,유도라,Muscle,11,1250000,0,0,76776,17542,7404,4875,883,5727,611,232,176,2115,RWD,2,3,4,Southern S.A. Super Autos,,6.11,2.32,1.76,74.04,48.75,8.83,57.27,01:16.8,175.42
741,Ocelot,21,Virtue,버츄,Super,19,2980000,0,0,59293,19232,8620,10000,4267,10000,485,378,212,1680,AWD,3,1,2,Legendary Motorsport ,,4.85,3.78,2.12,86.2,100,42.67,100,00:59.3,192.32
740,Karin,5,Hotring Everon,핫 링 에버론,Sports,17,1790000,0,0,66487,20237,8663,8488,2283,10000,521,212,160,1565,RWD,2,6,2,Southern S.A. Super Autos,,5.21,2.12,1.6,86.63,84.88,22.83,100,01:06.5,202.37
739,Toundra,41,Panthere,팡테르,Sports,17,2170000,0,0,66133,19714,8469,8655,2800,10000,460,220,131,1100,RWD,2,7,2,Legendary Motorsport ,,4.6,2.2,1.31,84.69,86.55,28,100,01:06.1,197.14
738,Classique,61,Broadway,브로드웨이,Muscle,11,925000,0,0,77978,16093,6761,4875,1067,6045,483,182,157,1570,RWD,2,3,2,Legendary Motorsport ,,4.83,1.82,1.57,67.61,48.75,10.67,60.45,01:18.0,160.93
737,Weeny,30,Issi Rally,이씨 랠리,SUVs,20,1835000,0,0,65749,18829,8019,8038,1827,10000,430,194,189,1580,AWD,3,7,4,Southern S.A. Super Autos,,4.3,1.94,1.89,80.19,80.38,18.27,100,01:09.2,188.29
736,Western,37,Powersurge,파워서지,Motorcycles,10,1605000,0,0,55371,20921,6879,10000,4333,7167,208,75,138,255,RWD,2,1,1,Legendary Motorsport ,,2.08,0.75,1.38,68.79,100,43.33,71.67,00:55.4,209.21
735,Declasse,25,Tahoma Coupe,타호마 쿠페,Muscle,11,1500000,0,0,70738,18065,8155,7540,2093,6993,520,191,164,1380,RWD,2,3,2,Southern S.A. Super Autos,,5.2,1.91,1.64,81.55,75.4,20.93,69.93,01:10.7,180.65
734,Overflod,35,Entity MT,엔터티 MT,Super,19,2355000,0,0,60494,24341,9228,8862,3333,10000,485,220,125,1420,RWD,2,6,2,Legendary Motorsport ,,4.85,2.2,1.25,92.28,88.62,33.33,100,01:03.2,211.23
733,Maibatsu,12,Manchez Scout C (Delivery Bike),,Motorcycles,10,,1,0,66133,22169,6975,6800,2667,6394,205,93,159,175,RWD,2,5,1,Bonus Reward,,2.05,0.93,1.59,69.75,68,26.67,63.94,01:06.1,221.69
732,Annis,10,300R,,Sports,17,2075000,0,0,63847,19312,8136,8219,2600,7560,462,201,133,1590,RWD,2,6,2,Legendary Motorsport ,,4.62,2.01,1.33,81.36,82.19,26,75.6,01:03.8,193.12
731,Zirconium,48,Journey II,저니 II,Vans,23,790000,0,0,100184,12754,5365,3250,833,4242,621,249,251,4000,FWD,1,4,6,Southern S.A. Super Autos,,6.21,2.49,2.51,53.65,32.5,8.33,42.42,01:40.2,127.54
730,Declasse,25,Tulip M-100,튤립 M-100,Muscle,11,1658000,0,0,70938,18789,8155,7882,2266,10000,535,189,141,1400,RWD,2,3,2,Southern S.A. Super Autos,,5.35,1.89,1.41,81.55,78.82,22.66,100,01:10.9,187.89
729,BF,16,Surfer Custom,,Vans,23,590000,0,0,105438,11225,5365,2500,1000,4696,453,214,222,2500,RWD,2,4,4,Southern S.A. Super Autos,,4.53,2.14,2.22,53.65,25,10,46.96,01:45.4,112.25
728,MTL,15,Brickade 6x6 (Acid Lab),,Service,16,1450000,1,0,85783,14565,5634,5000,1333,6061,1309,377,397,14000,AWD,3,5,6,Warstock Cache & Carry,,13.09,3.77,3.97,56.34,50,13.33,60.61,01:25.8,145.65
727,Ubermacht,2,Sentinel Classic Widebody,,Sports,17,700000,0,0,64248,20479,7877,7375,2933,10000,457,192,157,1040,RWD,2,5,2,Benny's Original Motor Works,,4.57,1.92,1.57,78.77,73.75,29.33,100,01:04.2,204.79
726,Obey,1,10F Widebody,,Sports,17,575000,0,0,62546,20600,8598,8900,3833,10000,457,218,125,1650,RWD,2,7,2,Benny's Original Motor Works,,4.57,2.18,1.25,85.98,89,38.33,100,01:02.5,206
725,BF,16,Weevil Custom,,Muscle,11,980000,0,0,65365,22128,8577,8438,2583,6386,430,214,167,780,RWD,2,5,2,Benny's Original Motor Works,,4.3,2.14,1.67,85.77,84.38,25.83,63.86,01:05.4,221.28
724,Ubermacht,2,Rhinehart,라인하트,Sedans,15,1598000,0,0,64748,19795,8435,8475,2950,6924,492,197,176,1660,AWD,3,8,4,Southern S.A. Super Autos,,4.92,1.97,1.76,84.35,84.75,29.5,69.24,01:04.7,197.95
723,Obey,1,10F,10F,Sports,17,1675000,0,0,63180,20278,8550,8862,3667,10000,457,207,126,1650,RWD,2,7,2,Legendary Motorsport ,,4.57,2.07,1.26,85.5,88.62,36.67,100,01:03.2,202.78
